2025-05-17 20:16:21,815 INFO:Processed pair (563, 565): 684
2025-05-17 20:16:21,816 INFO:Saved result for pair (569, 571): 690
2025-05-17 20:16:21,816 INFO:Processed pair (569, 571): 690
2025-05-17 20:16:21,816 INFO:Saved result for pair (575, 577): 695
2025-05-17 20:16:21,816 INFO:Processed pair (575, 577): 695
2025-05-17 20:16:21,817 INFO:Saved result for pair (581, 583): 702
2025-05-17 20:16:21,817 INFO:Processed pair (581, 583): 702
2025-05-17 20:16:21,817 INFO:Saved result for pair (587, 589): 705
2025-05-17 20:16:21,817 INFO:Processed pair (587, 589): 705
2025-05-17 20:16:21,818 INFO:Saved result for pair (593, 595): 709
2025-05-17 20:16:21,818 INFO:Processed pair (593, 595): 709
2025-05-17 20:16:21,818 INFO:Saved result for pair (599, 601): 714
2025-05-17 20:16:21,818 INFO:Processed pair (599, 601): 714
2025-05-17 20:16:21,818 INFO:Computation complete.
2025-05-17 20:17:44,656 INFO:Starting square-island computation...
2025-05-17 20:17:44,658 INFO:Saved result for pair (5, 7): 0
2025-05-17 20:17:44,658 INFO:Processed pair (5, 7): 0
2025-05-17 20:17:44,659 INFO:Saved result for pair (11, 13): 0
2025-05-17 20:17:44,659 INFO:Processed pair (11, 13): 0
2025-05-17 20:17:44,659 INFO:Saved result for pair (17, 19): 0
2025-05-17 20:17:44,659 INFO:Processed pair (17, 19): 0
2025-05-17 20:17:44,659 INFO:Saved result for pair (23, 25): 0
2025-05-17 20:17:44,660 INFO:Processed pair (23, 25): 0
2025-05-17 20:17:44,660 INFO:Saved result for pair (29, 31): 16
2025-05-17 20:17:44,660 INFO:Processed pair (29, 31): 16
2025-05-17 20:17:44,660 INFO:Saved result for pair (35, 37): 19
2025-05-17 20:17:44,660 INFO:Processed pair (35, 37): 19
2025-05-17 20:17:44,661 INFO:Saved result for pair (41, 43): 20
2025-05-17 20:17:44,661 INFO:Processed pair (41, 43): 20
2025-05-17 20:17:44,661 INFO:Saved result for pair (47, 49): 23
2025-05-17 20:17:44,661 INFO:Processed pair (47, 49): 23
2025-05-17 20:17:44,661 INFO:Saved result for pair (53, 55): 48
2025-05-17 20:17:44,661 INFO:Processed pair (53, 55): 48
2025-05-17 20:17:44,662 INFO:Saved result for pair (59, 61): 49
2025-05-17 20:17:44,662 INFO:Processed pair (59, 61): 49
2025-05-17 20:17:44,662 INFO:Saved result for pair (65, 67): 53
2025-05-17 20:17:44,662 INFO:Processed pair (65, 67): 53
2025-05-17 20:17:44,663 INFO:Saved result for pair (71, 73): 55
2025-05-17 20:17:44,663 INFO:Processed pair (71, 73): 55
2025-05-17 20:17:44,663 INFO:Saved result for pair (77, 79): 60
2025-05-17 20:17:44,663 INFO:Processed pair (77, 79): 60
2025-05-17 20:17:44,663 INFO:Saved result for pair (83, 85): 62
2025-05-17 20:17:44,663 INFO:Processed pair (83, 85): 62
2025-05-17 20:17:44,664 INFO:Saved result for pair (89, 91): 62
2025-05-17 20:17:44,664 INFO:Processed pair (89, 91): 62
2025-05-17 20:17:44,664 INFO:Saved result for pair (95, 97): 66
2025-05-17 20:17:44,664 INFO:Processed pair (95, 97): 66
2025-05-17 20:17:44,665 INFO:Saved result for pair (101, 103): 69
2025-05-17 20:17:44,665 INFO:Processed pair (101, 103): 69
2025-05-17 20:17:44,665 INFO:Saved result for pair (107, 109): 73
2025-05-17 20:17:44,665 INFO:Processed pair (107, 109): 73
2025-05-17 20:17:44,665 INFO:Saved result for pair (113, 115): 76
2025-05-17 20:17:44,665 INFO:Processed pair (113, 115): 76
2025-05-17 20:17:44,666 INFO:Saved result for pair (119, 121): 77
2025-05-17 20:17:44,666 INFO:Processed pair (119, 121): 77
2025-05-17 20:17:44,666 INFO:Saved result for pair (125, 127): 117
2025-05-17 20:17:44,666 INFO:Processed pair (125, 127): 117
2025-05-17 20:17:44,667 INFO:Saved result for pair (131, 133): 118
2025-05-17 20:17:44,667 INFO:Processed pair (131, 133): 118
2025-05-17 20:17:44,667 INFO:Saved result for pair (137, 139): 123
2025-05-17 20:17:44,667 INFO:Processed pair (137, 139): 123
2025-05-17 20:17:44,668 INFO:Saved result for pair (143, 145): 129
2025-05-17 20:17:44,668 INFO:Processed pair (143, 145): 129
2025-05-17 20:17:44,668 INFO:Saved result for pair (149, 151): 129
2025-05-17 20:17:44,668 INFO:Processed pair (149, 151): 129
2025-05-17 20:17:44,668 INFO:Saved result for pair (155, 157): 134
2025-05-17 20:17:44,668 INFO:Processed pair (155, 157): 134
2025-05-17 20:17:44,669 INFO:Saved result for pair (161, 163): 138
2025-05-17 20:17:44,669 INFO:Processed pair (161, 163): 138
2025-05-17 20:17:44,669 INFO:Saved result for pair (167, 169): 141
2025-05-17 20:17:44,669 INFO:Processed pair (167, 169): 141
2025-05-17 20:17:44,670 INFO:Saved result for pair (173, 175): 188
2025-05-17 20:17:44,670 INFO:Processed pair (173, 175): 188
2025-05-17 20:17:44,670 INFO:Saved result for pair (179, 181): 190
2025-05-17 20:17:44,670 INFO:Processed pair (179, 181): 190
2025-05-17 20:17:44,671 INFO:Saved result for pair (185, 187): 197
2025-05-17 20:17:44,671 INFO:Processed pair (185, 187): 197
2025-05-17 20:17:44,671 INFO:Saved result for pair (191, 193): 199
2025-05-17 20:17:44,671 INFO:Processed pair (191, 193): 199
2025-05-17 20:17:44,671 INFO:Saved result for pair (197, 199): 202
2025-05-17 20:17:44,671 INFO:Processed pair (197, 199): 202
2025-05-17 20:17:44,672 INFO:Saved result for pair (203, 205): 207
2025-05-17 20:17:44,672 INFO:Processed pair (203, 205): 207
2025-05-17 20:17:44,672 INFO:Saved result for pair (209, 211): 211
2025-05-17 20:17:44,672 INFO:Processed pair (209, 211): 211
2025-05-17 20:17:44,672 INFO:Saved result for pair (215, 217): 214
2025-05-17 20:17:44,672 INFO:Processed pair (215, 217): 214
2025-05-17 20:17:44,673 INFO:Saved result for pair (221, 223): 220
2025-05-17 20:17:44,673 INFO:Processed pair (221, 223): 220
2025-05-17 20:17:44,673 INFO:Saved result for pair (227, 229): 225
2025-05-17 20:17:44,673 INFO:Processed pair (227, 229): 225
2025-05-17 20:17:44,673 INFO:Saved result for pair (233, 235): 229
2025-05-17 20:17:44,673 INFO:Processed pair (233, 235): 229
2025-05-17 20:17:44,674 INFO:Saved result for pair (239, 241): 230
2025-05-17 20:17:44,674 INFO:Processed pair (239, 241): 230
2025-05-17 20:17:44,674 INFO:Saved result for pair (245, 247): 237
2025-05-17 20:17:44,674 INFO:Processed pair (245, 247): 237
2025-05-17 20:17:44,675 INFO:Saved result for pair (251, 253): 240
2025-05-17 20:17:44,675 INFO:Processed pair (251, 253): 240
2025-05-17 20:17:44,675 INFO:Saved result for pair (257, 259): 246
2025-05-17 20:17:44,675 INFO:Processed pair (257, 259): 246
2025-05-17 20:17:44,675 INFO:Saved result for pair (263, 265): 248
2025-05-17 20:17:44,675 INFO:Processed pair (263, 265): 248
2025-05-17 20:17:44,676 INFO:Saved result for pair (269, 271): 250
2025-05-17 20:17:44,676 INFO:Processed pair (269, 271): 250
2025-05-17 20:17:44,676 INFO:Saved result for pair (275, 277): 256
2025-05-17 20:17:44,676 INFO:Processed pair (275, 277): 256
2025-05-17 20:17:44,677 INFO:Saved result for pair (281, 283): 258
2025-05-17 20:17:44,677 INFO:Processed pair (281, 283): 258
2025-05-17 20:17:44,677 INFO:Saved result for pair (287, 289): 267
2025-05-17 20:17:44,677 INFO:Processed pair (287, 289): 267
2025-05-17 20:17:44,678 INFO:Saved result for pair (293, 295): 326
2025-05-17 20:17:44,678 INFO:Processed pair (293, 295): 326
2025-05-17 20:17:44,678 INFO:Saved result for pair (299, 301): 329
2025-05-17 20:17:44,678 INFO:Processed pair (299, 301): 329
2025-05-17 20:17:44,678 INFO:Saved result for pair (305, 307): 333
2025-05-17 20:17:44,678 INFO:Processed pair (305, 307): 333
2025-05-17 20:17:44,679 INFO:Saved result for pair (311, 313): 338
2025-05-17 20:17:44,679 INFO:Processed pair (311, 313): 338
2025-05-17 20:17:44,679 INFO:Saved result for pair (317, 319): 343
2025-05-17 20:17:44,679 INFO:Processed pair (317, 319): 343
2025-05-17 20:17:44,680 INFO:Saved result for pair (323, 325): 350
2025-05-17 20:17:44,680 INFO:Processed pair (323, 325): 350
2025-05-17 20:17:44,680 INFO:Saved result for pair (329, 331): 350
2025-05-17 20:17:44,680 INFO:Processed pair (329, 331): 350
2025-05-17 20:17:44,680 INFO:Saved result for pair (335, 337): 356
2025-05-17 20:17:44,680 INFO:Processed pair (335, 337): 356
2025-05-17 20:17:44,681 INFO:Saved result for pair (341, 343): 361
2025-05-17 20:17:44,681 INFO:Processed pair (341, 343): 361
2025-05-17 20:17:44,681 INFO:Saved result for pair (347, 349): 366
2025-05-17 20:17:44,681 INFO:Processed pair (347, 349): 366
2025-05-17 20:17:44,681 INFO:Saved result for pair (353, 355): 371
2025-05-17 20:17:44,681 INFO:Processed pair (353, 355): 371
2025-05-17 20:17:44,682 INFO:Saved result for pair (359, 361): 372
2025-05-17 20:17:44,682 INFO:Processed pair (359, 361): 372
2025-05-17 20:17:44,682 INFO:Saved result for pair (365, 367): 442
2025-05-17 20:17:44,682 INFO:Processed pair (365, 367): 442
2025-05-17 20:17:44,683 INFO:Saved result for pair (371, 373): 447
2025-05-17 20:17:44,683 INFO:Processed pair (371, 373): 447
2025-05-17 20:17:44,683 INFO:Saved result for pair (377, 379): 455
2025-05-17 20:17:44,683 INFO:Processed pair (377, 379): 455
2025-05-17 20:17:44,683 INFO:Saved result for pair (383, 385): 460
2025-05-17 20:17:44,683 INFO:Processed pair (383, 385): 460
2025-05-17 20:17:44,684 INFO:Saved result for pair (389, 391): 462
2025-05-17 20:17:44,684 INFO:Processed pair (389, 391): 462
2025-05-17 20:17:44,684 INFO:Saved result for pair (395, 397): 465
2025-05-17 20:17:44,684 INFO:Processed pair (395, 397): 465
2025-05-17 20:17:44,684 INFO:Saved result for pair (401, 403): 470
2025-05-17 20:17:44,684 INFO:Processed pair (401, 403): 470
2025-05-17 20:17:44,685 INFO:Saved result for pair (407, 409): 478
2025-05-17 20:17:44,685 INFO:Processed pair (407, 409): 478
2025-05-17 20:17:44,685 INFO:Saved result for pair (413, 415): 482
2025-05-17 20:17:44,685 INFO:Processed pair (413, 415): 482
2025-05-17 20:17:44,685 INFO:Saved result for pair (419, 421): 485
2025-05-17 20:17:44,685 INFO:Processed pair (419, 421): 485
2025-05-17 20:17:44,686 INFO:Saved result for pair (425, 427): 491
2025-05-17 20:17:44,686 INFO:Processed pair (425, 427): 491
2025-05-17 20:17:44,686 INFO:Saved result for pair (431, 433): 493
2025-05-17 20:17:44,686 INFO:Processed pair (431, 433): 493
2025-05-17 20:17:44,687 INFO:Saved result for pair (437, 439): 503
2025-05-17 20:17:44,687 INFO:Processed pair (437, 439): 503
2025-05-17 20:17:44,687 INFO:Saved result for pair (443, 445): 509
2025-05-17 20:17:44,687 INFO:Processed pair (443, 445): 509
2025-05-17 20:17:44,687 INFO:Saved result for pair (449, 451): 511
2025-05-17 20:17:44,687 INFO:Processed pair (449, 451): 511
2025-05-17 20:17:44,688 INFO:Saved result for pair (455, 457): 520
2025-05-17 20:17:44,688 INFO:Processed pair (455, 457): 520
2025-05-17 20:17:44,688 INFO:Saved result for pair (461, 463): 518
2025-05-17 20:17:44,688 INFO:Processed pair (461, 463): 518
2025-05-17 20:17:44,688 INFO:Saved result for pair (467, 469): 528
2025-05-17 20:17:44,688 INFO:Processed pair (467, 469): 528
2025-05-17 20:17:44,689 INFO:Saved result for pair (473, 475): 532
2025-05-17 20:17:44,689 INFO:Processed pair (473, 475): 532
2025-05-17 20:17:44,689 INFO:Saved result for pair (479, 481): 535
2025-05-17 20:17:44,689 INFO:Processed pair (479, 481): 535
2025-05-17 20:17:44,690 INFO:Saved result for pair (485, 487): 541
2025-05-17 20:17:44,690 INFO:Processed pair (485, 487): 541
2025-05-17 20:17:44,690 INFO:Saved result for pair (491, 493): 549
2025-05-17 20:17:44,690 INFO:Processed pair (491, 493): 549
2025-05-17 20:17:44,690 INFO:Saved result for pair (497, 499): 554
2025-05-17 20:17:44,690 INFO:Processed pair (497, 499): 554
2025-05-17 20:17:44,691 INFO:Saved result for pair (503, 505): 558
2025-05-17 20:17:44,691 INFO:Processed pair (503, 505): 558
2025-05-17 20:17:44,691 INFO:Saved result for pair (509, 511): 557
2025-05-17 20:17:44,691 INFO:Processed pair (509, 511): 557
2025-05-17 20:17:44,692 INFO:Saved result for pair (515, 517): 564
2025-05-17 20:17:44,692 INFO:Processed pair (515, 517): 564
2025-05-17 20:17:44,692 INFO:Saved result for pair (521, 523): 573
2025-05-17 20:17:44,692 INFO:Processed pair (521, 523): 573
2025-05-17 20:17:44,692 INFO:Saved result for pair (527, 529): 574
2025-05-17 20:17:44,692 INFO:Processed pair (527, 529): 574
2025-05-17 20:17:44,693 INFO:Saved result for pair (533, 535): 661
2025-05-17 20:17:44,693 INFO:Processed pair (533, 535): 661
2025-05-17 20:17:44,693 INFO:Saved result for pair (539, 541): 662
2025-05-17 20:17:44,693 INFO:Processed pair (539, 541): 662
2025-05-17 20:17:44,694 INFO:Saved result for pair (545, 547): 667
2025-05-17 20:17:44,694 INFO:Processed pair (545, 547): 667
2025-05-17 20:17:44,694 INFO:Saved result for pair (551, 553): 672
2025-05-17 20:17:44,694 INFO:Processed pair (551, 553): 672
2025-05-17 20:17:44,694 INFO:Saved result for pair (557, 559): 679
2025-05-17 20:17:44,694 INFO:Processed pair (557, 559): 679
2025-05-17 20:17:44,695 INFO:Saved result for pair (563, 565): 684
2025-05-17 20:17:44,695 INFO:Processed pair (563, 565): 684
2025-05-17 20:17:44,695 INFO:Saved result for pair (569, 571): 690
2025-05-17 20:17:44,695 INFO:Processed pair (569, 571): 690
2025-05-17 20:17:44,695 INFO:Saved result for pair (575, 577): 695
2025-05-17 20:17:44,695 INFO:Processed pair (575, 577): 695
2025-05-17 20:17:44,696 INFO:Saved result for pair (581, 583): 702
2025-05-17 20:17:44,696 INFO:Processed pair (581, 583): 702
2025-05-17 20:17:44,696 INFO:Saved result for pair (587, 589): 705
2025-05-17 20:17:44,696 INFO:Processed pair (587, 589): 705
2025-05-17 20:17:44,697 INFO:Saved result for pair (593, 595): 709
2025-05-17 20:17:44,697 INFO:Processed pair (593, 595): 709
2025-05-17 20:17:44,697 INFO:Saved result for pair (599, 601): 714
2025-05-17 20:17:44,697 INFO:Processed pair (599, 601): 714
2025-05-17 20:17:44,697 INFO:Computation complete.
2025-05-17 20:18:03,359 INFO:Starting square-island computation...
2025-05-17 20:18:03,361 INFO:Saved result for pair (5, 7): 0
